시도교육청코드,시도교육청명,행정표준코드,학교명,식사코드,식사명,급식일자,급식인원수,요리명,원산지정보,칼로리정보,영양정보,수정일자
T10,제주특별자치도교육청,9290088,제주중앙고등학교,2,중식,20210127,339.00,찹쌀밥(면대체/자율)-<br/>육개장칼국수-5.6.13.15.16.<br/>야채찐빵-1.2.5.6.<br/>단무지무침(자율)-13.<br/>김치(자율)-<br/>딸기(하우스)-,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 제주산한우,767.6 Kcal,탄수화물(g) : 128.9<br/>단백질(g) : 27.1<br/>지방(g) : 15.9<br/>비타민A(R.E) : 114.5<br/>티아민(mg) : 0.2<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 88.5<br/>칼슘(mg) : 170.1<br/>철분(mg) : 3.9,20210203040009
T10,제주특별자치도교육청,9290088,제주중앙고등학교,2,중식,20210128,341.00,닭갈비덮밥-5.6.13.15.<br/>시금치유부된장국-5.6.<br/>봄동달래겉절이(자율)-5.6.13.<br/>감자튀김/치즈볼(2)-1.2.5.6.<br/>김치(자율)-<br/>귤(한라봉)-,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>닭고기 : 제주산,907.5 Kcal,탄수화물(g) : 134.7<br/>단백질(g) : 52.2<br/>지방(g) : 22.7<br/>비타민A(R.E) : 434.9<br/>티아민(mg) : 0.6<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 60.7<br/>칼슘(mg) : 307.5<br/>철분(mg) : 5.5,20210204040008
T10,제주특별자치도교육청,9290088,제주중앙고등학교,2,중식,20210131,785.00,친환경농산물꾸러미,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산,962.0 Kcal,탄수화물(g) : 125.8<br/>단백질(g) : 125.8<br/>지방(g) : 22.2<br/>비타민A(R.E) : 66057.6<br/>티아민(mg) : 2.2<br/>리보플라빈(mg) : 8.1<br/>비타민C(mg) : 740.0<br/>칼슘(mg) : 5846.0<br/>철분(mg) : 88.8,20210207040008
T10,제주특별자치도교육청,9290088,제주중앙고등학교,2,중식,20210302,585.00,차조밥-<br/>콩나물두부된장국-5.6.<br/>돼지갈비떡찜-5.6.10.13.<br/>한치채소/초고추장-5.6.13.<br/>건새우애호박볶음(자율)-5.9.13.<br/>김치(자율)-,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>돼지고기 : 제주산<br/>오징어 : 한치:국내산<br/>두부 : 제주산,865.4 Kcal,탄수화물(g) : 111.6<br/>단백질(g) : 53.1<br/>지방(g) : 23.8<br/>비타민A(R.E) : 243.4<br/>티아민(mg) : 1.2<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 10.0<br/>칼슘(mg) : 203.0<br/>철분(mg) : 4.8,20210309040008
T10,제주특별자치도교육청,9290088,제주중앙고등학교,2,중식,20210303,585.00,김치볶음밥(눈꽃치즈)-2.5.6.9.10.<br/>크로크무슈-1.2.5.6.10.13.<br/>배추된장국-5.6.<br/>오이배초무침(자율)-13.<br/>김치(자율)-<br/>친환경사과주스-13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>돼지고기 식육가공품 : 국내산,900.9 Kcal,탄수화물(g) : 129.8<br/>단백질(g) : 40.2<br/>지방(g) : 27.4<br/>비타민A(R.E) : 514.0<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 72.6<br/>칼슘(mg) : 685.9<br/>철분(mg) : 4.5,20210310040009
T10,제주특별자치도교육청,9290088,제주중앙고등학교,2,중식,20210304,585.00,발아현미밥-<br/>꽃게된장국-5.6.8.<br/>달걀찜-1.2.<br/>미역줄기볶음(자율)-5.6.<br/>치즈불닭(조랭이떡)-2.5.6.13.15.<br/>김치(자율)-<br/>귤(비가림)-,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>닭고기 : 제주산<br/>꽃게 : 국내산,882.0 Kcal,탄수화물(g) : 120.1<br/>단백질(g) : 52.9<br/>지방(g) : 23.7<br/>비타민A(R.E) : 219.6<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.8<br/>비타민C(mg) : 30.4<br/>칼슘(mg) : 459.0<br/>철분(mg) : 5.0,20210311040008
T10,제주특별자치도교육청,9290088,제주중앙고등학교,2,중식,20210305,585.00,멸치고추주먹밥-5.13.<br/>잔치국수-1.3.5.6.9.13.<br/>봄동달래겉절이(자율)-5.6.13.<br/>김치(자율)-<br/>딸기-<br/>롱치즈스틱-1.2.5.6.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산,894.0 Kcal,탄수화물(g) : 160.1<br/>단백질(g) : 35.2<br/>지방(g) : 14.6<br/>비타민A(R.E) : 382.3<br/>티아민(mg) : 0.3<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 95.9<br/>칼슘(mg) : 313.6<br/>철분(mg) : 4.9,20210312040008
T10,제주특별자치도교육청,9290088,제주중앙고등학교,2,중식,20210308,596.00,검정쌀밥-<br/>근대된장국-5.6.<br/>연두부양념장(소포장)-5.6.13.<br/>애느타리깨소스무침(자율)-5.6.13.<br/>배추쌈(자율)-5.6.13.<br/>숯불맛돼지불고기-5.6.10.13.<br/>김치(자율)-,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>돼지고기 : 제주산<br/>두부 : 국내산,869.8 Kcal,탄수화물(g) : 106.3<br/>단백질(g) : 57.3<br/>지방(g) : 23.7<br/>비타민A(R.E) : 324.8<br/>티아민(mg) : 1.3<br/>리보플라빈(mg) : 0.7<br/>비타민C(mg) : 13.6<br/>칼슘(mg) : 309.9<br/>철분(mg) : 6.3,20210315040009
T10,제주특별자치도교육청,9290088,제주중앙고등학교,2,중식,20210309,596.00,발아현미밥-<br/>김치콩나물국-5.<br/>무말랭이깻잎순무침(자율)-13.<br/>도토리묵무침-5.6.13.<br/>깐풍기-1.5.6.12.13.15.<br/>김치(자율)-<br/>바나나(1/2개)-,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>닭고기 : 제주산,872.7 Kcal,탄수화물(g) : 143.4<br/>단백질(g) : 46.5<br/>지방(g) : 18.8<br/>비타민A(R.E) : 148.8<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 13.7<br/>칼슘(mg) : 261.6<br/>철분(mg) : 9.7,20210316040009
T10,제주특별자치도교육청,9290088,제주중앙고등학교,2,중식,20210310,596.00,비빔밥/달걀후라이-1.5.6.10.13.<br/>무생채(자율)-13.<br/>김치(자율)-<br/>메이플피칸파이-1.2.5.6.13.<br/>숭늉(자율)-<br/>감귤주스-13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>돼지고기 : 제주산,888.1 Kcal,탄수화물(g) : 154.1<br/>단백질(g) : 26.3<br/>지방(g) : 22.4<br/>비타민A(R.E) : 386.0<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 63.8<br/>칼슘(mg) : 126.7<br/>철분(mg) : 3.9,20210317040009
